"especie","CT"
"1","sp1",14
"2","sp1",21
"3","sp1",19
"4","sp1",25
"5","sp1",29
"6","sp1",11
"7","sp1",27
"8","sp1",25
"9","sp1",22
"10","sp1",14
"11","sp1",21
"12","sp1",16
"13","sp1",17
"14","sp1",23
"15","sp1",21
"16","sp2",36
"17","sp2",15
"18","sp2",15
"19","sp2",17
"20","sp2",20
"21","sp2",19
"22","sp2",24
"23","sp2",23
"24","sp2",24
"25","sp2",27
"26","sp2",17
"27","sp2",23
"28","sp2",23
"29","sp2",21
"30","sp2",14
"31","sp3",16
"32","sp3",22
"33","sp3",13
"34","sp3",16
"35","sp3",10
"36","sp3",12
"37","sp3",17
"38","sp3",11
"39","sp3",17
"40","sp3",13
"41","sp3",14
"42","sp3",13
"43","sp3",12
"44","sp3",10
"45","sp3",20
