"especie" "cl"
"1" "iris" 10.95
"2" "iris" 9.3
"3" "iris" 8.86
"4" "iris" 8.75
"5" "iris" 12.36
"6" "iris" 19.77
"7" "iris" 9.42
"8" "iris" 12.32
"9" "iris" 8.35
"10" "iris" 10.46
"11" "iris" 9.52
"12" "iris" 6.76
"13" "iris" 24.6
"14" "iris" 26.33
"15" "iris" 20.92
"16" "forceps" 11.41
"17" "forceps" 21.11
"18" "forceps" 11.29
"19" "forceps" 11.19
"20" "forceps" 8.86
"21" "forceps" 10.25
"22" "forceps" 10.35
"23" "forceps" 10.67
"24" "forceps" 11.31
"25" "forceps" 8.75
"26" "forceps" 11.25
"27" "forceps" 17.96
"28" "forceps" 9.93
"29" "forceps" 16.69
"30" "forceps" 18.7
"31" "irrasa" 11.25
"32" "irrasa" 9.3
"33" "irrasa" 9.52
"34" "irrasa" 6.76
"35" "irrasa" 21.11
"36" "irrasa" 11.41
"37" "irrasa" 16.69
"38" "irrasa" 17.96
"39" "irrasa" 10.35
"40" "irrasa" 10.86
"41" "irrasa" 10.25
"42" "irrasa" 11.19
"43" "irrasa" 11.27
"44" "irrasa" 26.33
"45" "irrasa" 8.75
